time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2019-01-01 00:00:00,6.7,4.9,88.0,,,330.0,11.2,,1021.0,,17.0
2019-01-01 01:00:00,7.0,5.0,87.0,,,300.0,14.8,,1019.0,,17.0
2019-01-01 02:00:00,7.0,5.9,93.0,,,340.0,14.8,,1019.0,,17.0
2019-01-01 03:00:00,7.2,6.3,94.0,,,360.0,14.8,,1021.2,,17.0
2019-01-01 04:00:00,7.0,7.0,100.0,,,350.0,13.0,20.4,1019.0,,17.0
2019-01-01 05:00:00,7.0,5.9,93.0,,,350.0,7.6,,1019.0,,17.0
2019-01-01 06:00:00,7.7,6.5,92.0,,0.0,310.0,13.0,18.5,1019.1,,17.0
2019-01-01 07:00:00,8.0,6.9,93.0,,,320.0,13.0,16.7,1018.0,,17.0
2019-01-01 08:00:00,9.0,7.0,87.0,,,340.0,16.6,16.7,1018.0,,17.0
2019-01-01 09:00:00,8.7,7.2,90.0,,,330.0,5.4,14.8,1018.0,,17.0
2019-01-01 10:00:00,9.0,7.9,93.0,,,340.0,9.4,16.7,1017.0,,17.0
2019-01-01 11:00:00,9.0,7.9,93.0,,,360.0,9.4,,1016.0,,17.0
2019-01-01 12:00:00,9.5,8.3,92.0,,,340.0,14.8,,1016.2,,18.0
2019-01-01 13:00:00,9.0,9.0,100.0,,,290.0,5.4,,1015.0,,17.0
2019-01-01 14:00:00,10.0,9.1,94.0,,,330.0,14.8,,1015.0,,17.0
2019-01-01 15:00:00,9.6,8.8,95.0,,,300.0,13.0,,1016.5,,18.0
2019-01-01 16:00:00,10.0,9.1,94.0,,,320.0,13.0,,1015.0,,25.0
2019-01-01 17:00:00,10.0,9.1,94.0,,,320.0,11.2,,1016.0,,26.0
2019-01-01 18:00:00,9.6,9.0,96.0,,,360.0,7.6,,1016.9,,25.0
2019-01-01 19:00:00,10.0,9.1,94.0,,,30.0,14.8,,1015.0,,25.0
2019-01-01 20:00:00,9.0,9.0,100.0,,,50.0,13.0,,1015.0,,25.0
2019-01-01 21:00:00,9.0,8.2,95.0,,,20.0,16.6,,1015.6,,25.0
2019-01-01 22:00:00,9.0,7.9,93.0,,,20.0,20.5,,1014.0,,25.0
2019-01-01 23:00:00,8.0,6.9,93.0,,,20.0,16.6,,1014.0,,25.0
2019-01-02 00:00:00,7.5,6.8,95.0,,,330.0,16.6,,1014.9,,25.0
2019-01-02 01:00:00,8.0,6.9,93.0,,,360.0,20.5,,1012.0,,25.0
2019-01-02 02:00:00,8.0,6.9,93.0,,,340.0,20.5,,1011.0,,25.0
2019-01-02 03:00:00,7.7,6.6,93.0,,,360.0,13.0,,1012.5,,25.0
2019-01-02 04:00:00,7.0,5.9,93.0,,,360.0,18.4,20.4,1011.0,,25.0
2019-01-02 05:00:00,8.0,6.9,93.0,,,30.0,18.4,,1011.0,,25.0
2019-01-02 06:00:00,8.5,7.3,92.0,,0.0,10.0,13.0,24.1,1012.6,,25.0
2019-01-02 07:00:00,8.0,6.9,93.0,,,310.0,16.6,25.9,1011.0,,25.0
2019-01-02 08:00:00,8.0,6.9,93.0,,,330.0,14.8,25.9,1010.0,,25.0
2019-01-02 09:00:00,8.7,7.2,90.0,,,30.0,20.5,25.9,1011.2,,25.0
2019-01-02 10:00:00,9.0,7.0,87.0,,,310.0,11.2,20.4,1009.0,,25.0
2019-01-02 11:00:00,9.0,7.9,93.0,,,340.0,11.2,,1008.0,,25.0
2019-01-02 12:00:00,9.2,8.1,93.0,,,340.0,11.2,,1009.3,,25.0
2019-01-02 13:00:00,10.0,7.9,87.0,,,350.0,9.4,,1008.0,,25.0
2019-01-02 14:00:00,11.0,8.0,82.0,,,340.0,9.4,,1008.0,,25.0
2019-01-02 15:00:00,10.6,7.8,83.0,,,320.0,7.6,,1009.4,,3.0
2019-01-02 16:00:00,10.0,7.9,87.0,,,360.0,13.0,,1009.0,,25.0
2019-01-02 17:00:00,9.0,7.0,87.0,,,350.0,14.8,,1009.0,,17.0
2019-01-02 18:00:00,8.5,6.3,86.0,,,360.0,16.6,,1010.3,,4.0
2019-01-02 19:00:00,9.0,7.0,87.0,,,10.0,11.2,,1010.0,,25.0
2019-01-02 20:00:00,9.0,7.0,87.0,,,340.0,11.2,,1010.0,,25.0
2019-01-02 21:00:00,8.7,7.5,92.0,,,320.0,7.6,,1010.8,,3.0
2019-01-02 22:00:00,9.0,7.0,87.0,,,10.0,9.4,,1010.0,,25.0
2019-01-02 23:00:00,8.0,6.9,93.0,,,360.0,9.4,,1010.0,,18.0
2019-01-03 00:00:00,8.2,7.1,93.0,,,40.0,7.6,,1011.5,,3.0
2019-01-03 01:00:00,8.0,6.9,93.0,,,10.0,7.6,,1011.0,,3.0
2019-01-03 02:00:00,9.0,7.0,87.0,,,350.0,11.2,,1011.0,,17.0
2019-01-03 03:00:00,8.7,7.5,92.0,,,320.0,11.2,,1011.8,,17.0
2019-01-03 04:00:00,9.0,7.9,93.0,,,320.0,13.0,16.7,1011.0,,2.0
2019-01-03 05:00:00,8.0,6.9,93.0,,,340.0,5.4,,1012.0,,3.0
2019-01-03 06:00:00,8.7,7.9,95.0,,0.0,350.0,7.6,16.7,1013.5,,3.0
2019-01-03 07:00:00,10.0,7.9,87.0,,,360.0,9.4,18.5,1013.0,,3.0
2019-01-03 08:00:00,12.0,8.1,77.0,,,360.0,3.6,18.5,1013.0,,3.0
2019-01-03 09:00:00,12.5,8.2,75.0,,,50.0,5.4,18.5,1014.5,,3.0
